410001,     ايراد محل المحلاوى     ,     ايراد محل المحلاوى     
410002,     ايرادات مجمع العقيق القديم     ,     ايرادات مجمع العقيق القديم     
410003,     ايراد عمارة طلال جمعة المحلاوى     ,     ايراد عمارة طلال جمعة المحلاوى     
410004,     إيرادات محلات فندق واحة المكارم     ,     إيرادات محلات فندق واحة المكارم     
410005,     إيرادات مجمع العقيق الجديد     ,     إيرادات مجمع العقيق الجديد     
410006,     ايرادات سوق النفق     ,     ايرادات سوق النفق     
410007,     ايراد عمارة خالد قاسم     ,     ايراد عمارة خالد قاسم     
410008,     ايرادات فيلا طارق بريك     ,     ايرادات فيلا طارق بريك     
410009,     ايرادات غرف سوق الخضرة     ,     ايرادات غرف سوق الخضرة     
410010,     ايرادات بيت  شعبى 2شارع السلام     ,     ايرادات بيت  شعبى 2شارع السلام     
410011,     ايرادات محلات وشقق وغرف وقف الشناقطة السيح     ,     ايرادات محلات وشقق وغرف وقف الشناقطة السيح     
410012,     ايرادات وقف محروس     ,     ايرادات وقف محروس     
410013,     ايرادات العمارة الكبيرة حى البحر     ,     ايرادات العمارة الكبيرة حى البحر     
410014,     ايرادات سوق المصانع     ,     ايرادات سوق المصانع     
410015,     ايرادات محلات فندق الحرم     ,     ايرادات محلات  فندق الحرم     
410016,     ايرادات عمارة الشيخ سنان     ,     ايرادات عمارة الشيخ سنان     
410017,     ايرادات محطة الإسكان المدينة     ,     ايرادات محطة الإسكان المدينة     
410018,     ايرادات محلات فندق زمزم بولمان     ,     ايرادات محلات فندق زمزم بولمان     
410019,     ايرادات عمارة الجدايل     ,     ايرادات عمارة الجدايل     
410020,     ايرادات عمارة بابكير دار الأرقم     ,     ايرادات عمارة بابكير دار الأرقم     
410021,     ايرادات سوق النعناع     ,     ايرادات سوق النعناع     
410022,     ايرادات اكشاك الملك فهد     ,     ايرادات اكشاك الملك فهد     
410023,     ايرادات محلات فندق بهاء الزهراء     ,     ايرادات محلات فندق بهاء الزهراء     
410024,     ايرادات محلات الخريجى     ,     ايرادات محلات الخريجى     
410025,     ايرادات عمارة سلطانة     ,     ايرادات عمارة سلطانة     
410026,     ايرادات فندق طيبة السلام     ,     ايرادات فندق طيبة السلام     
410027,     ايرادات فندق بركة أحد     ,     ايرادات فندق بركة أحد     
410028,     ايرادات فندق كروان بلازا     ,     ايرادات فندق كروان بلازا     
410029,     ايرادات السيح القديم     ,     ايرادات السيح القديم     
410030,     ايرادات محلات مسجد الميقات الصاعدي     ,     ايرادات محلات مسجد الميقات الصاعدي     
410031,     ايرادات عمارة الوقيصى دار الزائرين     ,     ايرادات عمارة الوقيصى دار الزائرين     
410032,     ايرادات عمارة النملة     ,     ايرادات عمارة النملة     
410033,     ايرادات عمارة محمد سعيد بخش     ,     ايرادات عمارة محمد سعيد بخش     
410034,     ايرادات عمارة عطا الله بالمصانع     ,     ايرادات عمارة عطا الله بالمصانع     
410035,     ايرادات عمارة محمد مكى     ,     ايرادات عمارة محمد مكى     
410036,     ايرادات حوش خلف بعويضان     ,     ايرادات حوش خلف بعويضان     
410037,     ايرادات غرف المسجد الكويتى     ,     ايرادات غرف المسجد الكويتى     
410038,     ايراد ات محلات الخنساء     ,     ايراد ات محلات الخنساء     
410039,     ايرادات عمارة دندينى     ,     ايرادات عمارة دندينى     
410040,     ايرادات بيت القاضى     ,     ايرادات بيت القاضى     
410041,     ايرادات عمارة الحزام 8     ,     ايرادات عمارة الحزام 8     
410042,     ايرادات عمارة الحزام 9     ,     ايرادات عمارة الحزام 9     
410043,     ايرادات مزرعة ابيار الماشى القديمة     ,     ايرادات مزرعة ابيار الماشى القديمة     
410044,     ايرادات مزرعة ابيار الماشى الجديدة     ,     ايرادات مزرعة ابيار الماشى الجديدة     
410045,     ايرادات قصر نوف     ,     ايرادات قصر نوف     
410046,     ايرادات عمارة المحسن     ,     ايرادات عمارة المحسن     
410047,     ايرادات محلات فندق الانصار جولدن     ,     ايرادات محلات فندق الانصار جولدن     
410048,     ايرادات السيح الجديد     ,     ايرادات السيح الجديد     
410049,     ايراد برجين جمعية البر ابى ذر     ,     ايراد برجين جمعية البر ابى ذر     
410050,     ايرادات حوش الرايس     ,     ايرادات حوش الرايس     
410051,     ايرادات عمارة جوار بيت حمود     ,     ايرادات عمارة جوار بيت حمود     
410052,     ايرادات عمارة قربان     ,     ايرادات عمارة قربان     
410053,     ايرادات محلات الحزام طريق الامير عبد المجيد     ,     ايرادات محلات الحزام طريق الامير عبد المجيد     
410054,     ايرادات سوق الجرفى     ,     ايرادات سوق الجرفى     
410055,     ايرادات فندق مارينا الرايس     ,     ايرادات فندق مارينا الرايس     
410056,     ايرادات محلات واحة الروضة     ,     ايرادات محلات واحة الروضة     
410057,     ايرادات محلات فندق العقيق الروضة     ,     ايرادات محلات فندق العقيق الروضة     
410058,     ايرادات عمارة وقف السرتي     ,     ايرادات عمارة وقف السرتي     
410059,     ايرادات عمارة باب التمار جوار قصر الروضة     ,     ايرادات عمارة باب التمار جوار قصر الروضة     
410060,     ايرادات استراحة الرايس الصغيرة     ,     ايرادات استراحة الرايس الصغيرة     
410061,     ايرادات قصر الخليفة الاندلسي     ,     ايرادات قصر الخليفة الاندلسي     
410062,     ايرادات محلات مركز الشريف     ,     ايرادات محلات مركز الشريف     
410063,     ايرادات عمارة السبع مساجد     ,     ايرادات عمارة السبع مساجد     
410064,     ايرادات عمارة وقف الشناقطة بالمصانع ( قصر اشرف )     ,     ايرادات عمارة وقف الشناقطة بالمصانع ( قصر اشرف )     
410065,     ايرادات عمارة الزاهد باب التمار     ,     ايرادات عمارة الزاهد باب التمار     
410066,     ايرادات البيت الشعبي بالمصانع     ,     ايرادات البيت الشعبي بالمصانع     
410067,     ايرادات فيلا 19 بمدينة المعرفة     ,     ايرادات فيلا 19 بمدينة المعرفة     
410068,     ايرادات عمارة باب التمار ( دار عرفة )     ,     ايرادات عمارة باب التمار ( دار عرفة )     
410069,     ايرادات بيت الدويمة     ,     ايرادات بيت الدويمة     
410070,     ايرادات حوش المصانع     ,     ايرادات حوش المصانع     
410071,     ايرادات عمارة الوقيصي الجديدة     ,     ايرادات عمارة الوقيصي الجديدة     
410072,     ايرادات مستودعات الغرفة التجارية     ,     ايرادات مستودعات الغرفة التجارية     
410073,     ايرادات مستودعات المنطقة الصناعية     ,     ايرادات مستودعات المنطقة الصناعية     
410074,     ايرادات معمل الاحزمة بالصناعية     ,     ايرادات معمل الاحزمة بالصناعية     
410075,     ايرادات عمارة الاعمدة     ,     ايرادات عمارة الاعمدة     
410076,     ايرادات بيت سلمى فلاتة     ,     ايرادات بيت سلمى فلاتة     
410077,     ايرادات مستودع طريق تبوك     ,     ايرادات مستودع طريق تبوك     
410078,     ايرادات عمارة الشنقيطي خلف الدفاع المدني باب التمار     ,     ايرادات عمارة الشنقيطي خلف الدفاع المدني باب التمار     
410079,     ايرادات عمارة الفريدي بالمصانع     ,     ايرادات عمارة الفريدي بالمصانع     
410080,     ايرادات عماير قباء 1+2     ,     ايرادات عماير قباء 1+2     
410081,     ايرادات فيلتين بمخطط الشفا خلف مكتب المحيسن     ,     ايرادات فيلتين بمخطط الشفا خلف مكتب المحيسن     
410082,     ايرادات عمارة المغاربة     ,     ايرادات عمارة المغاربة     
410083,     ايرادات محل الهيلتون     ,     ايرادات محل الهيلتون     
410084,     ايراد حراسات أمنية ضريبى     ,     ايراد حراسات أمنية ضريبى     
4101,     ايراد عمارة الهاشمية     ,     ايراد عمارة الهاشمية     
4102,     إيرادات شقق وغرف المجمع     ,     إيرادات شقق وغرف المجمع     
4104,     ايرادات بيت الزهرانى     ,     ايرادات بيت الزهرانى     
4105,     ايرادات بيت  شعبى 1شارع السلام     ,     ايرادات بيت  شعبى 1شارع السلام     
4106,     ايرادات حوش الحارة الشرقية     ,     ايرادات حوش الحارة الشرقية     
4107,     ايرادات وقف الرحيلى     ,     ايرادات وقف الرحيلى     
4108,     ايرادات سوق الرحيلى     ,     ايرادات سوق الرحيلى     
4109,     ايرادات عمارة حى البحر أ     ,     ايرادات عمارة حى البحر أ     
4110,     ايرادات عمارة حى البحر ب     ,     ايرادات عمارة حى البحر ب     
4111,     ايرادات بيت حمود     ,     ايرادات بيت حمود     
4112,     ايرادات غرف حوش النعناع     ,     ايرادات غرف حوش النعناع     
4113,     ايرادات مستودع الخليل     ,     ايرادات مستودع الخليل     
4114,     ايرادات عمارة الاغوات     ,     ايرادات عمارة الاغوات     
4115,     ايرادات محلات فندق وفادة الزهراء     ,     ايرادات محلات فندق وفادة الزهراء     
4116,     ايرادات عمارة البساطية     ,     ايرادات عمارة البساطية     
4117,     ايرادات السوق التجاري بقربان امام سوق السمك ( سوق الخيمة )     ,     ايرادات السوق التجاري بقربان امام سوق السمك ( سوق الخيمة )     
4118,     ايرادات محل قباء الطالع     ,     ايرادات محل قباء الطالع     
4119,     ايرادات محل المغسلة بفندق مارينا الرايس     ,     ايرادات محل المغسلة بفندق مارينا الرايس     
4120,     ايرادات محل اوبروى     ,     ايرادات محل اوبروى     
4121,     ايرادات عمارة شارع الامير محمد     ,     ايرادات عمارة شارع الامير محمد     
4122,     ايرادات سوق قباء النازل     ,     ايرادات سوق قباء النازل     
4123,     ايرادات عماير وقف الردادي     ,     ايرادات عماير وقف الردادي     
4124,     ايرادات مصنع البلك     ,     ايرادات مصنع البلك     
4125,     ايرادات محل العالية مول ذهب     ,     ايرادات محل العالية مول ذهب     
4126,     ايرادات محل التمور رقم 3 بسوق النعناع     ,     ايرادات محل التمور رقم 3 بسوق النعناع     
4127,     ايرادات عمارة حى النصر     ,     ايرادات عمارة حى النصر     
4128,     ايرادات فيلا الرايس الجديدة (أحمد بريك)     ,     ايرادات فيلا الرايس الجديدة (أحمد بريك)     
4129,     ايراد استرحة حمراء الاسد القديمة     ,     ايراد استرحة حمراء الاسد القديمة     
4130,     ايرادات سوق الانصار     ,     فندق محمد على     
4131,     ايرادات سوق عبق المدينة     ,     ايرادات سوق عبق المدينة     
4132,     ايرادات محلات مسجد الميقات الداخلية     ,     ايرادات محلات مسجد الميقات الداخلية     
4133,     ايرادات بقالة فندق مارينا الرايس     ,     ايرادات بقالة فندق مارينا الرايس     
4134,     ايرادات مركز الوكيل العربي التجاري     ,     ايرادات مركز الوكيل العربي التجاري     
